operator_id,operator_name,point_id,site_external_id,connector_type,charging_mode,voltage,max_current,max_power_w,expected_w,ratio,categoria,severidade
ATLA,"Atlante Infra Portugal, S.A",ALM-00091-03,ALM-00091,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ALQ-00015-01,ALQ-00015,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ALQ-00020-01,ALQ-00020,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ALQ-00020-02,ALQ-00020,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ALQ-80001-01,ALQ-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ALQ-80001-02,ALQ-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ALR-00005-03,ALR-00005,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ALT-80001-01,ALT-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ALT-80001-02,ALT-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",AMT-00041-03,AMT-00041,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",AND-00007-03,AND-00007,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ARC-00006-03,ARC-00006,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ARL-80001-01,ARL-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ARL-80001-02,ARL-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ARR-80001-01,ARR-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ARR-80001-02,ARR-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ASL-80003-01,ASL-80003,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ASL-80003-02,ASL-80003,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
